,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
131,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,236128.19900000002,0.29411764705882354,0.48212226066897335,,140.422
132,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,271950.49100000004,0.29411764705882354,0.48212226066897335,,140.422
133,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,351397.125,0.29411764705882354,0.48212226066897335,,140.422
134,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,359428.539,0.29411764705882354,0.48212226066897335,,140.422
135,2014-04-10,6.2,0.778181818181818,113341.65700101852,59076.098,0.2909090909090909,0.46082644628099173,,140.422
136,2014-04-10,6.2,0.778181818181818,113341.65700101852,166568.572,0.2909090909090909,0.46082644628099173,,140.422
137,2014-04-10,6.2,0.778181818181818,113341.65700101852,209665.71500000003,0.2909090909090909,0.46082644628099173,,140.422
138,2014-04-10,6.2,0.778181818181818,113341.65700101852,233049.18600000002,0.2909090909090909,0.46082644628099173,,140.422
139,2014-04-10,6.2,0.778181818181818,113341.65700101852,236176.26200000002,0.2909090909090909,0.46082644628099173,,140.422
140,2014-04-10,6.2,0.778181818181818,113341.65700101852,276886.923,0.2909090909090909,0.46082644628099173,,140.422
141,2014-04-11,6.237288135593221,0.7572536627405918,118192.20099925995,68775.515,,,73.0,
142,2014-04-11,6.237288135593221,0.7572536627405918,118192.20099925995,166717.613,,,73.0,
143,2014-04-11,6.237288135593221,0.7572536627405918,118192.20099925995,209990.247,,,73.0,
144,2014-04-11,6.237288135593221,0.7572536627405918,118192.20099925995,236210.76,,,73.0,
145,2014-04-11,6.237288135593221,0.7572536627405918,118192.20099925995,279344.823,,,73.0,
146,2014-04-11,6.237288135593221,0.7572536627405918,118192.20099925995,351517.44499999995,,,73.0,
147,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,71638.367,,,,
148,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,168548.989,,,,
149,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,210479.72400000002,,,,
150,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,235102.896,,,,
151,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,236271.619,,,,
152,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,281509.61,,,,
153,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,352110.46400000004,,,,
154,2014-04-12,6.285714285714286,0.7437641723356008,125392.33699965477,359439.604,,,,
155,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,72863.495,,,75.0,
156,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,170176.785,,,75.0,
157,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,211587.277,,,75.0,
158,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,235102.896,,,75.0,
159,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,236330.439,,,75.0,
160,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,285584.505,,,75.0,
161,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,352249.434,,,75.0,
162,2014-04-13,6.2388059701492535,0.8086433504121184,133978.69700193405,359439.604,,,75.0,
163,2014-04-14,6.267605633802817,0.7875421543344574,141806.24900126457,74478.973,,,75.0,
